marker,tag,StdDev of a_1311,StdDev of a_1592,StdDev of a_2713,StdDev of a_8006,StdDev of a_18178
0,1,2.53,3.05,4.94,4.19,2.75
0,2,2.62,1.56,1.32,2.36,2.91
0,52630,1.97,1.99,1.50,1.69,3.50
1,1,22.67,124.95,132.65,121.14,117.40
1,2,16.29,143.61,107.58,156.88,89.20
1,52630,27.54,138.24,121.81,145.68,96.68
2,1,,2.65,1.57,2.28,2.70
2,2,,1.71,2.54,7.43,2.15
2,52630,,1.92,2.29,6.64,3.12
3,1,27.48,30.70,79.40,73.86,79.92
3,2,29.05,31.10,81.45,87.75,91.52
3,52630,31.23,44.02,74.73,83.35,66.99
4,1,3.33,2.45,2.40,2.17,3.32
4,2,11.42,1.61,2.43,1.94,3.68
4,52630,4.86,1.64,1.72,2.16,2.20
5,1,274.62,177.06,192.36,109.00,265.22
5,2,263.24,169.81,174.79,120.91,283.65
5,52630,263.06,164.22,180.89,111.26,264.18
6,1,1.96,1.85,,24.66,2.61
6,2,1.89,1.19,,29.49,3.48
6,52630,1.92,1.98,,7.22,1.49
7,1,290.89,267.38,140.95,192.17,147.25
7,2,287.84,268.53,120.76,192.17,152.69
7,52630,291.40,290.57,144.66,167.97,153.87
8,1,,2.28,9.24,,2.31
8,2,,3.55,3.28,,2.30
8,52630,#DIV/0!,,,,
